county,state,fips,zone,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
Republic,KS,020157,Central Time (US & Canada),39.8278,-97.6506,39.927769,-97.8184239,39.921029,-97.8316959
Rice,KS,020159,Central Time (US & Canada),38.3471,-98.2011,38.5227549,-97.922116,38.158749,-98.480649
Riley,KS,020161,Central Time (US & Canada),39.2965,-96.7352,39.306534,-96.817285,39.2937499,-96.840041
Rooks,KS,020163,Central Time (US & Canada),39.3501,-99.3251,39.5680939,-99.044128,39.132357,-99.605491
Rush,KS,020165,Central Time (US & Canada),38.5233,-99.3092,38.6972839,-99.0324079,38.34833,-99.586604
Russell,KS,020167,Central Time (US & Canada),38.9149,-98.7623,38.907429,-98.807784,38.8607919,-98.8744799
Saline,KS,020169,Central Time (US & Canada),38.7839,-97.6501,38.95839489999999,-97.3716139,38.608923,-97.9290829
Scott,KS,020171,Central Time (US & Canada),38.4822,-100.9069,38.700603,-100.6845,38.2641459,-101.128393
Sedgwick,KS,020173,Central Time (US & Canada),37.6848,-97.4611,37.9277609,-97.4085609,37.906205,-97.438909
Seward,KS,020175,Central Time (US & Canada),37.1933,-100.8513,38.181439,-98.789379,38.1741109,-98.79937
Shawnee,KS,020177,Central Time (US & Canada),39.0415,-95.7564,39.061361,-94.7050369,38.970923,-94.909463
Sheridan,KS,020179,Central Time (US & Canada),39.3503,-100.4418,39.56810189999999,-100.161667,39.1320149,-100.72157
Sherman,KS,020181,Mountain Time (US & Canada),39.3514,-101.72,39.569071,-101.389068,39.133147,-102.049769
Smith,KS,020183,Central Time (US & Canada),39.7851,-98.7855,40.002553,-98.503975,39.5672889,-99.067128
Stafford,KS,020185,Central Time (US & Canada),38.0311,-98.7175,37.96948,-98.5896049,37.95216200000001,-98.609843
Stanton,KS,020187,Central Time (US & Canada),37.563,-101.7842,37.738541,-101.525751,37.3883839,-102.0421549
Stevens,KS,020189,Central Time (US & Canada),37.1924,-101.3121,37.3887969,-101.066457,36.9953239,-101.556776
Sumner,KS,020191,Central Time (US & Canada),37.2373,-97.4765,37.4772759,-97.1477139,36.998546,-97.8076
Thomas,KS,020193,Central Time (US & Canada),39.3509,-101.0555,39.56867,-100.719902,39.133012,-101.391762
Trego,KS,020195,Central Time (US & Canada),38.9143,-99.8729,39.1324929,-99.591776,38.696264,-100.153823
Wabaunsee,KS,020197,Central Time (US & Canada),38.9533,-96.205,,,,
Wallace,KS,020199,Mountain Time (US & Canada),38.9166,-101.7636,38.9155299,-101.583374,38.909782,-101.6026399
Washington,KS,020201,Central Time (US & Canada),39.7842,-97.0874,39.827991,-97.030039,39.807097,-97.0647389
Wichita,KS,020203,Central Time (US & Canada),38.4821,-101.3474,37.8402,-97.153025,37.489018,-97.7343619
Wilson,KS,020205,Central Time (US & Canada),37.5593,-95.7434,38.8344279,-98.467619,38.817945,-98.484225
Woodson,KS,020207,Central Time (US & Canada),37.8867,-95.7402,38.04020089999999,-95.518951,37.7327269,-95.9615759
Wyandotte,KS,020209,Central Time (US & Canada),39.1145,-94.7646,39.202911,-94.588387,38.9914009,-94.908867
Adair,KY,021001,Central Time (US & Canada),37.1041,-85.2806,37.312235,-85.04384,36.925167,-85.52691
Allen,KY,021003,Central Time (US & Canada),36.7513,-86.1904,37.6172819,-82.721012,37.601983,-82.73468
